amount,#total,#benign,#fraud,%fraud
324.5,3,0,3,100.0
264.99,3,0,3,100.0
395.67,3,0,3,100.0
139.6,3,0,3,100.0
354.65,3,0,3,100.0
245.34,3,0,3,100.0
285.16,2,0,2,100.0
222.26,2,0,2,100.0
388.51,2,0,2,100.0
415.19,2,0,2,100.0
358.25,2,0,2,100.0
404.39,2,0,2,100.0
446.8,2,0,2,100.0
181.55,2,0,2,100.0
275.18,2,0,2,100.0
300.35,2,0,2,100.0
430.29,2,0,2,100.0
290.17,2,0,2,100.0
749.53,2,0,2,100.0
329.41,2,0,2,100.0
626.03,2,0,2,100.0
620.64,2,0,2,100.0
186.8,2,0,2,100.0
320.79,2,0,2,100.0
432.39,2,0,2,100.0
251.05,2,0,2,100.0
331.56,2,0,2,100.0
298.63,2,0,2,100.0
214.49,2,0,2,100.0
276.69,2,0,2,100.0
120.96,2,0,2,100.0
212.03,2,0,2,100.0
479.43,2,0,2,100.0
154.36,2,0,2,100.0
164.54,2,0,2,100.0
355.56,2,0,2,100.0
645.66,2,0,2,100.0
145.87,2,0,2,100.0
178.31,2,0,2,100.0
6161.03,2,0,2,100.0
220.83,2,0,2,100.0
427.7,2,0,2,100.0
307.32,2,0,2,100.0
381.16,2,0,2,100.0
346.34,2,0,2,100.0
567.69,2,0,2,100.0
254.56,2,0,2,100.0
261.64,2,0,2,100.0
377.89,2,0,2,100.0
713.98,2,0,2,100.0
321.56,2,0,2,100.0
295.39,2,0,2,100.0
186.59,2,0,2,100.0
585.52,2,0,2,100.0
296.62,2,0,2,100.0
321.47,2,0,2,100.0
558.07,2,0,2,100.0
330.49,2,0,2,100.0
271.84,2,0,2,100.0
282.63,2,0,2,100.0
333.36,2,0,2,100.0
290.69,2,0,2,100.0
353.62,2,0,2,100.0
257.73,2,0,2,100.0
280.34,2,0,2,100.0
104.79,2,0,2,100.0
217.55,2,0,2,100.0
199.17,2,0,2,100.0
510.73,2,0,2,100.0
263.92,2,0,2,100.0
646.83,2,0,2,100.0
620.22,2,0,2,100.0
723.24,2,0,2,100.0
372.44,2,0,2,100.0
593.22,2,0,2,100.0
217.67,2,0,2,100.0
287.25,2,0,2,100.0
291.62,2,0,2,100.0
685.68,2,0,2,100.0
341.64,2,0,2,100.0
307.24,2,0,2,100.0
488.53,2,0,2,100.0
505.8,2,0,2,100.0
345.16,2,0,2,100.0
350.48,2,0,2,100.0
393.39,2,0,2,100.0
483.6,2,0,2,100.0
