customer,#total,#benign,#fraud,%fraud
'C910454738',92,5,87,94.56521739130434
'C2004941826',126,7,119,94.44444444444444
'C381007057',100,11,89,89.0
'C1572610482',101,12,89,88.11881188118812
'C617723960',46,6,40,86.95652173913044
'C2113737065',91,12,79,86.81318681318682
'C2060410910',13,2,11,84.61538461538461
'C483912131',98,18,80,81.63265306122449
'C1809646275',5,1,4,80.0
'C1817318774',112,25,87,77.67857142857143
'C1350963410',191,47,144,75.39267015706807
'C1849046345',171,44,127,74.26900584795322
'C1175850429',113,31,82,72.56637168141593
'C371517012',25,7,18,72.0
'C1233811793',7,2,5,71.42857142857143
'C1454826238',20,6,14,70.0
'C126638730',22,7,15,68.18181818181817
'C611182051',67,22,45,67.16417910447761
'C1803182614',15,5,10,66.66666666666666
'C231476583',25,9,16,64.0
'C1464489812',115,42,73,63.47826086956522
'C932908444',68,25,43,63.23529411764706
'C1237248073',27,10,17,62.96296296296296
'C650117238',8,3,5,62.5
'C245117318',108,41,67,62.03703703703704
'C1685492470',89,35,54,60.67415730337079
'C1562081159',10,4,6,60.0
'C1338125837',38,17,21,55.26315789473685
'C204205576',20,9,11,55.00000000000001
'C616715154',84,38,46,54.761904761904766
'C751887992',24,11,13,54.166666666666664
'C1560904250',13,6,7,53.84615384615385
'C1994178184',106,49,57,53.77358490566038
'C806399525',237,112,125,52.742616033755276
'C1163388474',38,18,20,52.63157894736842
'C894204131',21,10,11,52.38095238095239
'C1653588482',56,27,29,51.78571428571429
'C2126657609',24,12,12,50.0
'C330615170',29,15,14,48.275862068965516
'C928090253',44,23,21,47.72727272727273
'C2138532527',15,8,7,46.666666666666664
'C350034124',54,29,25,46.2962962962963
'C2033917877',13,7,6,46.15384615384615
'C375144053',90,49,41,45.55555555555556
'C1275518867',252,138,114,45.23809523809524
'C1501096176',20,11,9,45.0
'C629170053',18,10,8,44.44444444444444
'C1947400039',16,9,7,43.75
'C1468001998',126,72,54,42.857142857142854
'C835291219',19,11,8,42.10526315789473
'C1978250683',265,155,110,41.509433962264154
'C540538956',17,10,7,41.17647058823529
'C243130666',10,6,4,40.0
'C1211514218',74,45,29,39.189189189189186
'C644541754',23,14,9,39.130434782608695
'C440694138',69,43,26,37.68115942028986
'C1131883667',8,5,3,37.5
'C64314422',8,5,3,37.5
'C2082187659',19,12,7,36.84210526315789
'C1001065306',30,19,11,36.666666666666664
'C1647495093',167,107,60,35.92814371257485
'C1983968298',14,9,5,35.714285714285715
'C374616385',68,44,24,35.294117647058826
'C1686035763',23,15,8,34.78260869565217
'C301739259',29,19,10,34.48275862068966
'C1204835011',12,8,4,33.33333333333333
'C342292849',12,8,4,33.33333333333333
'C1136761152',9,6,3,33.33333333333333
'C1066003783',9,6,3,33.33333333333333
'C1903013338',28,19,9,32.142857142857146
'C706599076',32,22,10,31.25
'C2002713196',56,39,17,30.357142857142854
'C1886871597',47,33,14,29.78723404255319
'C496697462',17,12,5,29.411764705882355
'C60026962',24,17,7,29.166666666666668
'C1747786179',14,10,4,28.57142857142857
'C339926892',14,10,4,28.57142857142857
'C811312110',147,106,41,27.89115646258503
'C715527139',18,13,5,27.77777777777778
'C1510535804',69,50,19,27.536231884057973
'C422403315',40,29,11,27.500000000000004
'C1452504275',26,19,7,26.923076923076923
'C1859195979',15,11,4,26.666666666666668
'C2137381129',15,11,4,26.666666666666668
'C1469520420',15,11,4,26.666666666666668
'C1332295774',53,39,14,26.41509433962264
'C896659218',88,65,23,26.136363636363637
'C637279747',20,15,5,25.0
'C903333805',20,15,5,25.0
'C547610089',16,12,4,25.0
'C274486575',12,9,3,25.0
'C1337135199',12,9,3,25.0
'C60324613',29,22,7,24.137931034482758
'C1545977603',29,22,7,24.137931034482758
'C1918088317',17,13,4,23.52941176470588
'C1590275312',17,13,4,23.52941176470588
'C218446443',172,133,39,22.674418604651162
'C587299231',165,128,37,22.424242424242426
'C1548873226',27,21,6,22.22222222222222
'C1233360048',18,14,4,22.22222222222222
'C1689346810',9,7,2,22.22222222222222
'C601255458',9,7,2,22.22222222222222
'C2008400862',9,7,2,22.22222222222222
'C515668508',205,161,44,21.463414634146343
'C2105324799',14,11,3,21.428571428571427
'C153962249',14,11,3,21.428571428571427
'C1883962820',47,37,10,21.27659574468085
'C1021896897',33,26,7,21.21212121212121
'C678324895',19,15,4,21.052631578947366
'C417267123',139,110,29,20.863309352517987
'C1375956198',24,19,5,20.833333333333336
'C704456922',108,86,22,20.37037037037037
'C1994736634',113,90,23,20.353982300884958
'C179390259',74,59,15,20.27027027027027
'C989137613',20,16,4,20.0
'C1012876398',20,16,4,20.0
'C2095975270',15,12,3,20.0
'C1082301057',15,12,3,20.0
'C1743702978',5,4,1,20.0
'C1404665203',5,4,1,20.0
'C706956926',26,21,5,19.230769230769234
'C1853365964',16,13,3,18.75
'C525850964',108,88,20,18.51851851851852
'C443009341',27,22,5,18.51851851851852
'C413065793',79,65,14,17.72151898734177
'C1338572942',17,14,3,17.647058823529413
'C553434543',177,146,31,17.51412429378531
'C16723337',40,33,7,17.5
'C449179311',69,57,12,17.391304347826086
'C1728122351',110,91,19,17.272727272727273
'C1575599226',29,24,5,17.24137931034483
'C1312615175',148,123,25,16.89189189189189
'C1777502922',120,100,20,16.666666666666664
'C82010125',54,45,9,16.666666666666664
'C1490935984',48,40,8,16.666666666666664
'C1035154937',30,25,5,16.666666666666664
'C1571595392',12,10,2,16.666666666666664
'C1156745710',6,5,1,16.666666666666664
'C1345586046',6,5,1,16.666666666666664
'C473451132',61,51,10,16.39344262295082
'C826734487',31,26,5,16.129032258064516
'C806943770',44,37,7,15.909090909090908
'C484067548',38,32,6,15.789473684210526
'C647931416',19,16,3,15.789473684210526
'C1714895875',83,70,13,15.66265060240964
'C422003518',32,27,5,15.625
'C52277164',26,22,4,15.384615384615385
'C611520731',13,11,2,15.384615384615385
'C844772824',27,23,4,14.814814814814813
'C1079254393',165,141,24,14.545454545454545
'C656901929',49,42,7,14.285714285714285
'C1815102713',42,36,6,14.285714285714285
'C390271010',35,30,5,14.285714285714285
'C1402369177',28,24,4,14.285714285714285
'C1289834917',28,24,4,14.285714285714285
'C2014915363',14,12,2,14.285714285714285
'C1713690936',14,12,2,14.285714285714285
'C1208164294',14,12,2,14.285714285714285
'C1432191075',7,6,1,14.285714285714285
'C849065220',7,6,1,14.285714285714285
'C142595093',71,61,10,14.084507042253522
'C750714109',29,25,4,13.793103448275861
'C1929167055',80,69,11,13.750000000000002
'C665247956',51,44,7,13.725490196078432
'C1515184734',22,19,3,13.636363636363635
'C909582983',22,19,3,13.636363636363635
'C722922832',30,26,4,13.333333333333334
'C197543842',23,20,3,13.043478260869565
'C183456137',47,41,6,12.76595744680851
'C275926123',47,41,6,12.76595744680851
'C1475317372',110,96,14,12.727272727272727
'C1237476993',87,76,11,12.643678160919542
'C961154945',136,119,17,12.5
'C394488921',48,42,6,12.5
'C1472480119',24,21,3,12.5
'C502238060',16,14,2,12.5
'C868607067',16,14,2,12.5
'C1564636486',8,7,1,12.5
'C792820521',8,7,1,12.5
'C730733765',8,7,1,12.5
'C28065321',8,7,1,12.5
'C1225568299',8,7,1,12.5
'C1509603467',41,36,5,12.195121951219512
'C1455309687',66,58,8,12.121212121212121
'C1450140987',149,131,18,12.080536912751679
'C1565570610',67,59,8,11.940298507462686
'C1850482225',17,15,2,11.76470588235294
'C1051985937',17,15,2,11.76470588235294
'C723652619',17,15,2,11.76470588235294
'C2084566155',86,76,10,11.627906976744185
'C2007848056',43,38,5,11.627906976744185
'C1667161948',104,92,12,11.538461538461538
'C2118328869',144,128,16,11.11111111111111
'C1490048317',63,56,7,11.11111111111111
'C5191822',18,16,2,11.11111111111111
'C1281345721',18,16,2,11.11111111111111
'C1657671280',9,8,1,11.11111111111111
'C79727066',9,8,1,11.11111111111111
'C790600178',55,49,6,10.909090909090908
'C2015444413',37,33,4,10.81081081081081
'C1271627744',65,58,7,10.76923076923077
'C2130894809',28,25,3,10.714285714285714
'C309177915',57,51,6,10.526315789473683
'C2029229218',19,17,2,10.526315789473683
'C516824110',19,17,2,10.526315789473683
'C2128227866',67,60,7,10.44776119402985
'C1038215695',79,71,8,10.126582278481013
'C1394467199',50,45,5,10.0
'C395414939',10,9,1,10.0
'C1235359960',10,9,1,10.0
'C1196611038',10,9,1,10.0
'C366397964',101,91,10,9.900990099009901
'C840054516',81,73,8,9.876543209876543
'C1586862598',72,65,7,9.722222222222223
'C822948524',93,84,9,9.67741935483871
'C571254990',52,47,5,9.615384615384617
'C251875213',52,47,5,9.615384615384617
'C211657450',73,66,7,9.58904109589041
'C150891114',21,19,2,9.523809523809524
'C1655514881',32,29,3,9.375
'C688652575',43,39,4,9.30232558139535
'C583110837',140,127,13,9.285714285714286
'C500712433',54,49,5,9.25925925925926
'C1165343027',76,69,7,9.210526315789473
'C189036899',110,100,10,9.090909090909092
'C994449484',33,30,3,9.090909090909092
'C474847450',22,20,2,9.090909090909092
'C332190038',22,20,2,9.090909090909092
'C140804810',11,10,1,9.090909090909092
'C746711867',11,10,1,9.090909090909092
'C375459759',100,91,9,9.0
'C431496464',89,81,8,8.98876404494382
'C1143401925',125,114,11,8.799999999999999
'C784046647',23,21,2,8.695652173913043
'C831905583',104,95,9,8.653846153846153
'C1838494462',81,74,7,8.641975308641975
